Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
The Shawshank Redemption,9.3,Frank Darabont,"Stephen King, Frank Darabont",82.0,1994,United States,English,29332133.0,2 hours 22 minutes
Attack on Titan the Movie: The Last Attack,9.3,Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue",82.0,2024,Japan,Japanese,3513659.0,2 hours 25 minutes
The Godfather,9.2,Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",100.0,1978,United States,"English, Italian, Latin",250342198.0,2 hours 55 minutes
Hababam Sinifi,9.2,Ertem Egilmez,"Umur Bugay, Rifat Ilgaz",100.0,1975,Turkey,Turkish,66424.5,1 hour 25 minutes
Ramayana: The Legend of Prince Rama,9.2,"Ram Mohan, Yûgô Sakô, Koichi Saski","Rani Burra, Ram Mohan, Yûgô Sakô",100.0,2001,"India, Japan",English,8211964.5,2 hours 15 minutes
The Silence of Swastika,9.1,Anuj Bhardwaj,Suzanne Bernert,92.0,2021,India,"Hindi, English",7527030.0,56 minutes
Maya Bazaar,9.1,Kadiri Venkata Reddy,"Pingali Nagendra Rao, Kadiri Venkata Reddy",92.0,1957,India,"Telugu, Tamil",32549.0,3 hours 12 minutes
The Dark Knight,9.0,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",84.0,2008,"United States, United Kingdom","English, Mandarin",1009053678.0,2 hours 32 minutes
Schindler's List,9.0,Steven Spielberg,"Thomas Keneally, Steven Zaillian",95.0,1993,United States,"English, Hebrew, German, Polish, Latin",322161245.0,3 hours 15 minutes
12 Angry Men,9.0,Sidney Lumet,Reginald Rose,97.0,1957,United States,English,2945.0,1 hour 36 minutes
The Godfather: Part II,9.0,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",90.0,1979,United States,"English, Italian, Spanish, Latin, Sicilian",47964222.0,3 hours 22 minutes
The Lord of the Rings: The Return of the King,9.0,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",94.0,2004,"New Zealand, United States","English, Quenya, Old English, Sindarin",1138263151.0,3 hours 21 minutes
Sandesham,9.0,Sathyan Anthikad,Sreenivasan,94.0,1991,India,Malayalam,3497751.5,2 hours 18 minutes
Oggatonama,9.0,Tauquir Ahmed,Tauquir Ahmed,94.0,2016,Bangladesh,Bengali,6787074.0,1 hour 40 minutes
The Lord of the Rings: The Fellowship of the Ring,8.9,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",92.0,2002,"New Zealand, United States, United Kingdom","English, Sindarin",888159923.0,2 hours 58 minutes
Pulp Fiction,8.9,Quentin Tarantino,"Quentin Tarantino, Roger Avary",95.0,1994,United States,"English, Spanish, French",213928762.0,2 hours 34 minutes
I'm Still Here,8.9,Walter Salles,"Murilo Hauser, Heitor Lorega, Marcelo Rubens Paiva",79.0,2024,"Brazil, France",Portuguese,6600000.0,2 hours 16 minutes
O.J.: Made in America,8.9,Ezra Edelman,"Willie Brown, Harry Edwards, John McKay",92.0,2016,United States,English,6787074.0,7 hours 47 minutes
The Message,8.9,Moustapha Akkad,"H.A.L. Craig, Tewfik El-Hakim, A.B. Rahman El-Sharkawi",92.0,1976,Libya,Arabic,100513.0,3 hours 27 minutes
Tosun Pasa,8.9,Kartal Tibet,Yavuz Turgul,92.0,2018,Turkey,Turkish,11382356.5,1 hour 30 minutes
Mirror Game,8.9,Amitabh Reza Chowdhury,"Syed Gaosul Alam Shaon, Anam Biswas, Adnan Adib Khan",92.0,2024,Bangladesh,Bengali,6600000.0,2 hours 27 minutes
Hababam Sinifi: Sinifta Kaldi,8.9,Ertem Egilmez,"Sadik Sendil, Rifat Ilgaz",92.0,1975,Turkey,Turkish,66424.5,1 hour 35 minutes
Kireedam,8.9,Sibi Malayil,A.K. Lohithadas,92.0,1989,India,Malayalam,181001.0,2 hours 4 minutes
Inception,8.8,Christopher Nolan,Christopher Nolan,74.0,2010,"United States, United Kingdom","English, Japanese, French",839030630.0,2 hours 28 minutes
Fight Club,8.8,David Fincher,"Chuck Palahniuk, Jim Uhls",67.0,1999,"Germany, United States",English,101321009.0,2 hours 19 minutes
Forrest Gump,8.8,Robert Zemeckis,"Winston Groom, Eric Roth",82.0,2014,United States,English,678226465.0,2 hours 22 minutes
12th Fail,8.8,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Jaskunwar Kohli, Anurag Pathak",82.0,2023,India,Hindi,138288.0,2 hours 27 minutes
